scenario,scheduler,run_idx,total_throughput_bps,avg_delay_sec,fairness,congestion_avg_throughput_bps,normal_avg_throughput_bps,empty_avg_throughput_bps,mean_active_users_per_slot,mean_requested_rb_per_slot,mean_allocated_rb_per_slot,mean_unserved_users_per_slot
congestion_heavy,MaxThroughput,20,1292148.5031375226,97.06909414645244,0.29858974930426163,0.0,42940.083475948006,57911.11111111112,59.96666666666667,1000.17,1.68,58.96666666666667
congestion_heavy,MaxThroughput,21,956561.4899257376,149.66672384002473,0.22441435489537662,0.0,54093.46878112767,60255.555555555555,59.97,1083.56,1.4433333333333334,58.97
congestion_heavy,MaxThroughput,22,1030838.9440671612,127.1798437514875,0.26094193980053126,0.0,35849.349651009485,60200.0,59.92666666666667,1020.2766666666666,1.4533333333333334,58.92666666666667
congestion_heavy,MaxThroughput,23,819749.3963522705,169.79824500626893,0.22159279773448298,0.0,32934.67191824478,60647.61904761905,59.96,1057.31,1.3166666666666667,58.96
congestion_heavy,MaxThroughput,24,1326026.3382011736,94.39661588009253,0.31574339943211055,1550.8556031675116,43656.25888714186,59677.77777777778,59.98,992.5333333333333,1.6933333333333334,58.98
congestion_heavy,MaxThroughput,25,1166188.9224374983,121.52459225262233,0.24111591147956984,0.0,70280.16112648799,60755.55555555556,59.95666666666666,1072.21,1.7166666666666666,58.95666666666666
congestion_heavy,MaxThroughput,26,1359111.8708839912,98.51317151242642,0.2926030160913304,0.0,58983.99282688842,59480.0,59.92333333333333,1046.64,1.76,58.92333333333333
congestion_heavy,MaxThroughput,27,1474320.8885734344,85.97671593422608,0.31656162375053226,0.0,58806.044428671696,59640.0,59.96666666666667,991.7533333333333,1.86,58.96666666666667
congestion_heavy,MaxThroughput,28,982938.9014844721,143.79951849508367,0.23050108889295032,514.2857142857143,51395.30011419016,58640.0,59.94,1081.9133333333334,1.5,58.94
congestion_heavy,MaxThroughput,29,1274146.6451755324,101.53257970958516,0.2947993173680045,0.0,47774.81362086292,59171.42857142858,59.96333333333333,1017.44,1.6466666666666667,58.96333333333333
congestion_heavy,PF,0,5459870.950147806,11.47617102691158,0.972335925855224,82166.16411657416,107745.29298961523,61166.666666666664,59.85666666666667,729.13,9.726666666666667,52.13333333333333
congestion_heavy,PF,1,4981460.0119662285,16.370615395137143,0.9789967352390788,80663.53118564555,102575.57331495384,60786.666666666664,59.79333333333334,938.3266666666667,9.996666666666666,51.943333333333335
congestion_heavy,PF,2,4708564.803982408,14.575598940686865,0.9623861584117255,72444.19477279893,100735.66920470842,60540.0,59.68333333333333,757.3733333333333,10.696666666666667,50.44
congestion_heavy,PF,3,5348788.832852746,12.012158778112363,0.9698459758941435,80415.99133941597,106744.68631820376,59983.333333333336,59.836666666666666,743.8866666666667,9.743333333333334,52.13333333333333
congestion_heavy,PF,4,5061761.161417099,14.545357006381295,0.9714417316923598,78565.10937985571,104609.0395087794,59586.666666666664,59.85666666666667,844.1166666666667,9.83,52.05
congestion_heavy,PF,5,4830056.144834722,13.1596532508461,0.9624390110296719,72335.79969625088,100726.13431494586,60525.92592592592,59.75666666666667,706.0366666666666,10.71,50.50666666666667
congestion_heavy,PF,6,4966080.963752534,15.006191244055097,0.9669700731065771,76589.832747915,105670.87412490198,60822.222222222226,59.79333333333334,838.1866666666666,10.213333333333333,51.52333333333333
congestion_heavy,PF,7,5109262.204440699,13.233095576395662,0.969529947758734,77540.66688698895,102597.88775015442,58653.33333333333,59.77,761.52,9.9,51.68333333333333
congestion_heavy,PF,8,5019143.634371479,15.210294479731392,0.9707990320731303,78502.61561042868,105424.82288584436,59533.33333333333,59.77,867.35,9.98,51.78
congestion_heavy,PF,9,4832419.561554589,16.015380017561107,0.9700829231154585,76358.34357333875,102565.05920436034,59790.4761904762,59.73,861.71,10.28,51.303333333333335
congestion_heavy,PF,10,4783956.232238067,16.412889507963676,0.9724358136917429,76692.8581622248,101467.97618779315,60276.19047619048,59.72666666666667,889.4966666666667,10.306666666666667,51.24333333333333
congestion_heavy,PF,11,5094206.584329606,11.418556001192254,0.9652506615444907,75654.0928040141,101536.3876392779,58800.0,59.723333333333336,663.96,10.37,50.89666666666667
congestion_heavy,PF,12,4836485.150636509,14.996151468550815,0.9698396628992322,75199.11758241129,100508.83829429625,60095.23809523809,59.776666666666664,814.5666666666667,10.35,51.12
congestion_heavy,PF,13,5079836.793918893,14.094152086605254,0.9681389664300953,77902.74151271573,105350.11247861537,60226.666666666664,59.78,817.5666666666667,9.94,51.68666666666667
congestion_heavy,PF,14,5323949.903132621,12.368125002159958,0.9682446431974262,79931.95337782697,107566.52219484109,59950.0,59.806666666666665,763.8466666666667,9.65,52.083333333333336
congestion_heavy,PF,15,5176603.803426783,13.008499744851516,0.968667985431996,78270.8323829416,105383.91281302075,60466.666666666664,59.82,768.67,9.89,51.76
congestion_heavy,PF,16,4730343.084119904,15.543328779785544,0.9662735322496405,72788.93740954521,99761.2551397809,59142.857142857145,59.776666666666664,811.5433333333333,10.293333333333333,51.053333333333335
congestion_heavy,PF,17,4742095.168682271,16.66165578648872,0.9685487632015183,74534.30901720212,102942.78010211684,60352.380952380954,59.78333333333333,872.3733333333333,10.44,51.096666666666664
congestion_heavy,PF,18,4399800.815424385,18.789667094209413,0.9773261827786012,72572.10666464467,96318.05527174412,59436.36363636364,59.7,897.38,10.81,50.49
congestion_heavy,PF,19,4777057.348796509,12.579939295492956,0.9617811014484676,72145.50168189754,98593.73348720952,60006.060606060615,59.733333333333334,664.66,10.82,50.24333333333333
congestion_heavy,PF,20,5024616.247173726,13.30103993301045,0.9667124739900205,75919.68213263439,102011.50389073146,58488.8888888889,59.79666666666667,748.1666666666666,10.153333333333334,51.35
congestion_heavy,PF,21,4818765.002620507,17.279518639198116,0.9707398017212223,76499.02895620048,105882.43250035337,60766.66666666666,59.803333333333335,925.0433333333333,10.176666666666666,51.57666666666667
congestion_heavy,PF,22,5032563.403909709,13.87629003159589,0.9689529385006299,78733.71381799458,104244.10038011207,60857.142857142855,59.74666666666667,800.6566666666666,10.28,51.32
congestion_heavy,PF,23,4839098.933315086,16.32141421801136,0.9704857487992434,76984.30022949181,104495.2186588267,61257.142857142855,59.72,888.6333333333333,10.263333333333334,51.32666666666667
congestion_heavy,PF,24,5056513.354853966,13.160982528225723,0.9670170812372708,76339.32228648159,103542.0183841305,60488.88888888888,59.836666666666666,751.6733333333333,10.213333333333333,51.35666666666667
congestion_heavy,PF,25,5467216.683704525,13.845875783056913,0.9767336104879626,86244.92583377242,112558.44329897454,60955.555555555555,59.85666666666667,904.23,9.556666666666667,52.88333333333333
congestion_heavy,PF,26,5099660.344341236,14.336922016461967,0.966751668328513,77924.75380613998,106498.7659359661,59893.33333333333,59.79,818.8766666666667,9.926666666666666,51.71
congestion_heavy,PF,27,5154732.920005064,13.414564532138874,0.9679462519892845,78189.62612567742,105861.46694698441,60173.333333333336,59.79666666666667,781.9466666666667,9.956666666666667,51.78
congestion_heavy,PF,28,4924103.014977044,16.354880718157116,0.9721824768328349,77912.99784245115,104237.7260713407,59333.333333333336,59.776666666666664,908.42,9.99,51.79333333333334
congestion_heavy,PF,29,4872607.435130358,14.544065869894151,0.9721620453565292,75815.29738607263,99781.7792565453,60428.571428571435,59.78,793.4,10.286666666666667,51.096666666666664
congestion_heavy,Ours,0,8108471.126965462,3.2239267320558413,0.8367827899661586,187300.158834846,88119.41851043301,0.0,59.99666666666667,430.0566666666667,12.0,47.99666666666667
congestion_heavy,Ours,1,7852265.111688389,5.227385230686306,0.8199477250494104,167192.23199946733,45073.354882893356,0.0,60.0,747.4766666666667,12.0,48.0
congestion_heavy,Ours,2,7765598.75526087,3.3268637081704115,0.7643195779140756,188684.21701252877,90530.56434396587,0.0,59.99666666666667,403.27,12.0,47.99666666666667
congestion_heavy,Ours,3,8060552.212501726,3.3461194028885517,0.8342990958079036,185214.4317455016,84716.34630000754,0.0,59.99333333333333,446.2266666666667,12.0,47.99333333333333
congestion_heavy,Ours,4,7889416.286034541,4.373998120431229,0.8160962093577074,177044.47846930288,68336.8296588842,0.0,59.99666666666667,601.09,12.0,47.99666666666667
congestion_heavy,Ours,5,7791406.389331417,2.8880768519358364,0.7801040848595401,190887.28711602435,98323.22742146127,0.0,59.99333333333333,342.56666666666666,12.0,47.99333333333333
congestion_heavy,Ours,6,7880247.4973477125,4.3401712526292355,0.8052825572298127,178297.37142861457,69059.21144127239,0.0,60.0,590.8833333333333,12.0,48.0
congestion_heavy,Ours,7,7957249.2369330665,3.57378792661555,0.8182868363133426,185518.56219833676,83415.30383581611,0.0,59.99666666666667,467.28333333333336,12.0,47.99666666666667
congestion_heavy,Ours,8,7910571.645291201,4.668520175799924,0.8127156823198998,175225.43465896786,60103.617262165746,0.0,59.99666666666667,649.43,12.0,47.99666666666667
congestion_heavy,Ours,9,7793789.54628062,4.59304529335879,0.7933065272751578,176667.19061151712,64554.936602246504,0.0,60.0,621.8866666666667,12.0,48.0
congestion_heavy,Ours,10,7844482.924228964,4.653042561765408,0.799868929839298,173803.16575698755,59879.42734937297,0.0,59.99333333333333,648.9,12.0,47.99333333333333
congestion_heavy,Ours,11,8070921.602232143,2.0347090169179936,0.8363240830908845,192575.91676291238,106476.57768573177,14711.54711492619,60.0,252.04666666666665,12.0,48.0
congestion_heavy,Ours,12,7807979.524247859,4.019941526883262,0.79424956535506,181119.77705592324,75745.15001380132,0.0,60.0,528.7833333333333,12.0,48.0
congestion_heavy,Ours,13,7924003.741230696,4.118972204997026,0.8168182815235263,179084.15317892743,72105.00408946573,0.0,59.99333333333333,559.5033333333333,12.0,47.99333333333333
congestion_heavy,Ours,14,8041538.674881957,3.588062437006909,0.8337615096350989,183397.0587833731,82092.66710214871,0.0,59.99666666666667,481.25666666666666,12.0,47.99666666666667
congestion_heavy,Ours,15,8005844.734408464,3.4956205742535267,0.8226393732693777,184162.02568990222,83063.61242627565,0.0,59.99666666666667,463.99666666666667,12.0,47.99666666666667
congestion_heavy,Ours,16,7836518.411363142,3.842764281920689,0.7949290032102089,181655.9219350271,76288.54245306861,0.0,60.0,506.14,12.0,48.0
congestion_heavy,Ours,17,7831435.413034478,4.5757914869183685,0.7957052212963198,175612.23131762544,62072.78156380464,0.0,60.0,628.05,12.0,48.0
congestion_heavy,Ours,18,7698009.834056903,4.6884133489719595,0.7598159310244559,176016.2121581964,60168.14194635636,0.0,60.0,639.39,12.0,48.0
congestion_heavy,Ours,19,7860169.313241645,2.160173168905912,0.7961664974099059,195878.51878626825,107135.79156919965,19496.535590001004,60.0,247.61,12.0,48.0
congestion_heavy,Ours,20,7968281.157860257,3.113880667791338,0.8135956620064617,187365.09554545904,89663.55001843488,0.0,59.99666666666667,401.97333333333336,12.0,47.99666666666667
congestion_heavy,Ours,21,7846060.492139013,5.276891778617439,0.8080252294961786,170019.65961421083,48655.92079344977,0.0,60.0,743.9233333333333,12.0,48.0
congestion_heavy,Ours,22,7915909.089054153,3.823283041222723,0.798123702319018,182803.44099619894,78528.5419524113,0.0,60.0,505.05,12.0,48.0
congestion_heavy,Ours,23,7810357.028800653,4.762769439261272,0.7979835141328215,173371.2464144743,58511.327150600526,0.0,60.0,659.2433333333333,12.0,48.0
congestion_heavy,Ours,24,7950114.3274202105,3.403357561447438,0.8130471011439184,185514.79664539007,87053.62086296847,0.0,60.0,440.17,12.0,48.0
congestion_heavy,Ours,25,7897959.069375928,5.350773137272259,0.8285348493085802,168753.2552673837,45826.363777030536,0.0,60.0,759.5033333333333,12.0,48.0
congestion_heavy,Ours,26,7934993.672820105,4.123249732394959,0.8139431852398452,179959.35880071597,70916.52206631195,0.0,60.0,559.9333333333333,12.0,48.0
congestion_heavy,Ours,27,7959973.7826277325,3.7674016222843028,0.8150572730782046,183236.12587416067,77335.46885160546,0.0,60.0,501.98,12.0,48.0
congestion_heavy,Ours,28,7829856.099533861,5.132621740027346,0.8127074205419385,170596.22765437694,51139.57985000219,0.0,59.99666666666667,718.71,12.0,47.99666666666667
congestion_heavy,Ours,29,7915561.800493227,3.5858080173403475,0.8018011859239007,183409.35969215026,83124.12284822053,0.0,60.0,470.4266666666667,12.0,48.0
congestion_heavy,OursPF,0,8423822.707803695,2.2866440815510574,0.9517014668858442,166789.18861991147,118540.36133193865,60400.0,59.96,458.3566666666667,12.0,48.0
congestion_heavy,OursPF,1,8297689.320524436,3.9999329213371797,0.9606141203090729,153010.70099784067,115165.31605631336,59680.0,59.986666666666665,702.3966666666666,12.0,48.026666666666664
congestion_heavy,OursPF,2,8113822.493055957,2.3904815189562107,0.9198644727637539,166856.96936525175,118126.02964721469,59940.0,59.92,459.88,12.0,47.96333333333333
congestion_heavy,OursPF,3,8417370.449768422,2.332964396161989,0.9518154257860403,165713.01976929454,117981.48394413204,58816.666666666664,59.96333333333333,467.25,12.0,48.00333333333333
congestion_heavy,OursPF,4,8364717.142181257,3.053682128725625,0.9536499685007348,159621.66835734565,118048.65164326206,58453.333333333336,59.98,580.0533333333333,12.0,48.02
congestion_heavy,OursPF,5,8105851.83123165,2.0324310475967278,0.9228699545601372,168728.18523265273,119479.66385327313,59437.037037037044,59.95,402.3833333333333,12.0,47.99333333333333
congestion_heavy,OursPF,6,8373376.954583908,2.988459422582141,0.9486022224247457,160969.05886842505,118526.2115156515,60022.22222222222,59.97,567.16,12.0,48.01
congestion_heavy,OursPF,7,8247019.202148406,2.575714231632276,0.9468419619806278,163077.3144997987,117300.05259038102,56973.33333333333,59.95333333333333,493.17333333333335,12.0,47.99333333333333
congestion_heavy,OursPF,8,8372462.553215776,3.392109791660115,0.9552740565150201,158061.77575325276,117128.32376126657,58613.333333333336,59.96333333333333,621.1466666666666,12.0,48.00666666666667
congestion_heavy,OursPF,9,8263286.816522125,3.2754009856902844,0.9430676242679022,159293.79786205888,117306.81189774968,58361.90476190477,59.983333333333334,602.1266666666667,12.0,48.02333333333333
congestion_heavy,OursPF,10,8298203.607426849,3.3906644473789527,0.9462993205371351,157874.29925613498,117385.3337159985,59533.33333333333,59.96666666666667,624.0833333333334,12.0,48.00666666666667
congestion_heavy,OursPF,11,8141755.534582773,1.6415886839302074,0.92731958231025,172203.15831874698,118766.8048708951,57761.904761904756,59.95,339.10333333333335,12.0,47.99333333333333
congestion_heavy,OursPF,12,8246658.587871269,2.805036595107793,0.9404518323508331,161882.55704649916,118036.46279591958,58895.2380952381,59.96,534.03,12.0,48.00333333333333
congestion_heavy,OursPF,13,8395885.842820182,2.808855783064612,0.9518018176076091,161565.6106144486,118008.79167142138,58760.0,59.96666666666667,540.5866666666667,12.0,47.96666666666667
congestion_heavy,OursPF,14,8460657.332091743,2.398092340824385,0.9537141246755553,164819.67874678367,119169.16309247422,58766.666666666664,59.96333333333333,475.66,12.0,48.00333333333333
congestion_heavy,OursPF,15,8452588.90920695,2.3094700067902494,0.9479587497205023,166079.84981286482,119590.82613823225,58893.333333333336,59.97,463.73333333333335,12.0,48.01
congestion_heavy,OursPF,16,8261085.43785692,2.6301193655554895,0.9375120654154008,163052.44363824595,116933.18432627838,57619.047619047626,59.95666666666666,507.69666666666666,12.0,47.99666666666667
congestion_heavy,OursPF,17,8293032.13330109,3.300463166550373,0.9456875064811274,158601.77131434157,117766.2523636483,59714.28571428572,59.96333333333333,606.18,12.0,48.00333333333333
congestion_heavy,OursPF,18,8135373.663230678,3.455836968515676,0.9232818887723735,159668.0973116029,117731.04251520336,58830.303030303025,59.946666666666665,630.37,12.0,47.986666666666665
congestion_heavy,OursPF,19,7956238.847931835,1.6595880870177195,0.9049779305313366,173965.4397908835,118635.08970809002,59018.18181818183,59.946666666666665,336.2,12.0,47.986666666666665
congestion_heavy,OursPF,20,8273008.120332058,2.2106024412670093,0.9396185484874191,166058.2136394076,118864.17956989458,57355.555555555555,59.98,439.45666666666665,12.0,48.02
congestion_heavy,OursPF,21,8294760.358703516,3.993352570854294,0.9550376757733517,154647.46509643097,116471.45692942281,60622.22222222222,59.98,696.5933333333334,12.0,48.02
congestion_heavy,OursPF,22,8338921.893383196,2.6689853359447873,0.9392013593407093,164365.1350314854,117692.7666029247,60142.857142857145,59.97,518.3,12.0,48.01
congestion_heavy,OursPF,23,8308025.579659171,3.4113943097900736,0.9470213885950599,157934.40683390404,117665.13051131448,60104.7619047619,59.95,627.6666666666666,12.0,47.99333333333333
congestion_heavy,OursPF,24,8313218.021754699,2.33553042233503,0.9419008956129163,165689.93655098916,118551.59280501856,59311.1111111111,59.973333333333336,459.77,12.0,48.013333333333335
congestion_heavy,OursPF,25,8378136.266140185,3.9743788279265875,0.9693343090493044,153357.4689215188,114478.45970344357,60355.555555555555,59.983333333333334,697.1166666666667,12.0,47.983333333333334
congestion_heavy,OursPF,26,8404330.600732615,2.8791615711199188,0.9511575367670485,161823.41851012257,118003.56199211557,58560.0,59.98,546.0033333333333,12.0,48.02333333333333
congestion_heavy,OursPF,27,8381973.429330965,2.6391718721913042,0.9497036520603795,163531.61979425582,118068.33682660053,59400.0,59.97666666666667,510.79333333333335,12.0,48.016666666666666
congestion_heavy,OursPF,28,8312896.672529441,3.7528371004919574,0.9573217751506882,155068.48160753588,116309.26500099493,57600.0,59.97,668.1,12.0,48.01
congestion_heavy,OursPF,29,8324130.360009826,2.475166231779252,0.9378314410955761,164982.97423555882,118607.01454251487,59257.142857142855,59.96666666666667,485.92333333333335,12.0,48.00666666666667
normal_heavy,RR,0,6170562.437625766,3.516383772403583,0.9506665413308294,92481.38065975462,119823.27284395245,59515.15151515152,59.873333333333335,306.8566666666667,12.0,47.873333333333335
normal_heavy,RR,1,6166005.560694068,3.7658217930389264,0.9510426721684413,94402.3276791456,119772.5611386485,59303.0303030303,59.833333333333336,326.33,11.996666666666666,47.836666666666666
normal_heavy,RR,2,6111192.285794181,2.4624088095635073,0.942788906474836,96984.57394807566,119308.04829535582,58852.380952380954,59.85,230.58333333333334,11.996666666666666,47.85333333333333
normal_heavy,RR,3,6306233.970638395,3.0816947198805824,0.9560992765111609,97308.38644208851,119573.68421052632,59473.333333333336,59.89333333333333,284.7966666666667,12.0,47.89333333333333
normal_heavy,RR,4,6349840.906240341,3.9380183081651614,0.9635596274854515,93353.83819380046,119438.59649122808,58695.23809523809,59.873333333333335,342.81666666666666,12.0,47.873333333333335
normal_heavy,RR,5,6105513.840077654,2.787788943186969,0.9437630011989617,94647.25172435041,119840.03674539308,60342.857142857145,59.81333333333333,250.89666666666668,12.0,47.81333333333333
normal_heavy,RR,6,6196700.749395346,3.518031948957376,0.9528416786154953,94934.33571141167,119539.47366149059,59921.21212121213,59.86,309.09,12.0,47.86
normal_heavy,RR,7,5985871.04292404,3.6306875539099144,0.9428226598104301,94738.79817364404,118987.87878787878,59119.047619047626,59.86333333333334,305.94666666666666,12.0,47.86333333333334
normal_heavy,RR,8,6243982.078877071,2.7222498246301634,0.9540698148228725,93306.58551800977,119091.86898368307,60575.75757575759,59.86666666666667,248.88,12.0,47.86666666666667
